plate,raw_track,expected_stage_flow,actual_stage_flow,expected_report_sequence,actual_report_sequence,status
KA0178TB,2026-03-17 15:34:09 Parking Out,Parking* → Backyard,Parking → Backyard,Parking [∅ → 2026-03-17 15:34:09] ; Backyard [2026-03-17 15:34:09 → ∅],Parking [∅ → 2026-03-17T15:34:09.426] ; Backyard [2026-03-17T15:34:09.426 → ∅],DIFF
KA0623MI,2026-03-18 10:43:10 Service -> Drive-In ; 2026-03-18 10:44:10 Service In,Service,Service,Service [2026-03-18 10:44:10 → ∅],Service [2026-03-18T10:44:10.825 → ∅],DIFF
KA0701CO,2026-03-19 10:50:45 Service -> Drive-In ; 2026-03-19 10:51:58 Service -> Drive-In ; 2026-03-19 11:09:11 Drive-In -> Service ; 2026-03-19 11:13:00 Service In ; 2026-03-19 11:32:59 Service In ; 2026-03-19 11:45:23 Service In ; 2026-03-19 12:27:49 Service In,Test-Drive → Backyard → Service,Test-Drive → Backyard → Service,Test-Drive [2026-03-19 10:51:58 → 2026-03-19 11:09:10] ; Backyard [2026-03-19 11:09:11 → 2026-03-19 11:12:59] ; Service [2026-03-19 11:13:00 → ∅],Test-Drive [2026-03-19T10:51:58.839 → 2026-03-19T11:09:10.649] ; Backyard [2026-03-19T11:09:11.649 → 2026-03-19T11:12:59.293] ; Service [2026-03-19T11:13:00.293 → ∅],DIFF
KA0732MT,2026-03-17 14:46:34 Drive-In -> Service ; 2026-03-19 12:02:56 Service In ; 2026-03-19 12:09:51 Service In ; 2026-03-19 12:19:17 Post Out (Post 2),Backyard → Service → Post 2* → Service,Backyard → Service → Post 2 → Service,Backyard [2026-03-17 14:46:34 → 2026-03-19 12:02:55] ; Service [2026-03-19 12:02:56 → ∅] ; Post 2 [∅ → 2026-03-19 12:19:17] ; Service [2026-03-19 12:19:17 → ∅],Backyard [2026-03-17T14:46:34.769 → 2026-03-19T12:02:55.700] ; Service [2026-03-19T12:02:56.700 → 2026-03-19T12:19:16.035] ; Post 2 [∅ → 2026-03-19T12:19:17.035] ; Service [2026-03-19T12:19:17.035 → ∅],DIFF
KA0887EI,2026-03-18 08:53:36 Service -> Drive-In ; 2026-03-19 09:00:29 Service -> Drive-In,,,,,OK
KA0993MP,2026-03-17 13:19:24 Service -> Drive-In ; 2026-03-17 13:21:09 Drive-In -> Service ; 2026-03-17 13:21:55 Service In ; 2026-03-18 15:52:20 Drive-In -> Service,Backyard → Service → Backyard,Backyard → Service → Backyard,Backyard [2026-03-17 13:21:09 → 2026-03-17 13:21:54] ; Service [2026-03-17 13:21:55 → 2026-03-18 15:52:19] ; Backyard [2026-03-18 15:52:20 → ∅],Backyard [2026-03-17T13:21:09.262 → 2026-03-17T13:21:54.909] ; Service [2026-03-17T13:21:55.909 → 2026-03-18T15:52:19.853] ; Backyard [2026-03-18T15:52:20.853 → ∅],DIFF
KA1007T,2026-03-19 11:48:51 Parking In,Parking,Parking,Parking [2026-03-19 11:48:51 → ∅],Parking [2026-03-19T11:48:51.249 → ∅],DIFF
KA1100CT,2026-03-17 15:28:02 Service In ; 2026-03-17 17:21:45 Service In ; 2026-03-19 13:58:22 Drive-In -> Service,Service → Backyard,Service → Backyard,Service [2026-03-17 15:28:02 → 2026-03-19 13:58:21] ; Backyard [2026-03-19 13:58:22 → ∅],Service [2026-03-17T15:28:02.053 → 2026-03-19T13:58:21.366] ; Backyard [2026-03-19T13:58:22.366 → ∅],DIFF
KA1163K,2026-03-18 14:34:35 Post Out (Post 1) ; 2026-03-18 14:40:04 Post Out (Post 1) ; 2026-03-18 14:43:26 Post Out (Post 1),Post 1* → Service → Post 1* → Service → Post 1* → Service,Post 1 → Service → Post 1 → Service → Post 1 → Service,Post 1 [∅ → 2026-03-18 14:34:35] ; Service [2026-03-18 14:34:35 → ∅] ; Post 1 [∅ → 2026-03-18 14:40:04] ; Service [2026-03-18 14:40:04 → ∅] ; Post 1 [∅ → 2026-03-18 14:43:26] ; Service [2026-03-18 14:43:26 → ∅],Post 1 [∅ → 2026-03-18T14:34:35.305] ; Service [2026-03-18T14:34:35.305 → 2026-03-18T14:40:03.246] ; Post 1 [∅ → 2026-03-18T14:40:04.246] ; Service [2026-03-18T14:40:04.246 → 2026-03-18T14:43:25.221] ; Post 1 [∅ → 2026-03-18T14:43:26.221] ; Service [2026-03-18T14:43:26.221 → ∅],DIFF
KA1163KK,2026-03-18 14:19:11 Service In ; 2026-03-18 14:19:54 Post Out (Post 1) ; 2026-03-18 14:26:48 Post In (Post 1) ; 2026-03-18 14:27:48 Post In (Post 1) ; 2026-03-18 14:33:54 Post In (Post 1) ; 2026-03-18 14:37:00 Post Out (Post 1) ; 2026-03-18 14:39:31 Post Out (Post 1) ; 2026-03-18 14:42:01 Post In (Post 1) ; 2026-03-18 14:43:01 Post In (Post 1) ; 2026-03-18 14:44:53 Post In (Post 1) ; 2026-03-18 14:52:50 Post In (Post 1) ; 2026-03-18 15:01:45 Post Out (Post 1) ; 2026-03-18 15:02:56 Post In (Post 1) ; 2026-03-18 15:03:56 Post In (Post 1) ; 2026-03-18 15:05:59 Post In (Post 1) ; 2026-03-18 15:06:59 Post In (Post 1) ; 2026-03-18 15:12:36 Post Out (Post 1) ; 2026-03-18 15:54:58 Post In (Post 1) ; 2026-03-18 15:55:58 Post In (Post 1) ; 2026-03-18 15:57:01 Post In (Post 1) ; 2026-03-18 15:57:02 Post In (Post 1) ; 2026-03-18 16:00:29 Service Out,Service → Post 1* → Service → Post 1 → Service → Backyard,Service → Post 1 → Service → Post 1 → Service → Backyard,Service [2026-03-18 14:19:11 → ∅] ; Post 1 [∅ → 2026-03-18 14:19:54] ; Service [2026-03-18 14:19:54 → 2026-03-18 14:26:47] ; Post 1 [2026-03-18 14:26:48 → 2026-03-18 15:12:36] ; Service [2026-03-18 15:12:37 → 2026-03-18 16:00:29] ; Backyard [2026-03-18 16:00:29 → ∅],Service [2026-03-18T14:19:11.569 → 2026-03-18T14:19:53.935] ; Post 1 [∅ → 2026-03-18T14:19:54.935] ; Service [2026-03-18T14:19:54.935 → 2026-03-18T14:26:47.420] ; Post 1 [2026-03-18T14:26:48.420 → 2026-03-18T15:12:36.313] ; Service [2026-03-18T15:12:37.313 → 2026-03-18T16:00:29.003] ; Backyard [2026-03-18T16:00:29.003 → ∅],DIFF
KA1164KK,2026-03-18 14:19:22 Post Out (Post 1),Post 1* → Service,Post 1 → Service,Post 1 [∅ → 2026-03-18 14:19:22] ; Service [2026-03-18 14:19:22 → ∅],Post 1 [∅ → 2026-03-18T14:19:22.194] ; Service [2026-03-18T14:19:22.194 → ∅],DIFF
